Passengers,PassengerId,Survived,Status,Pclass,Name,Sex,AgeNumber,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,54,1,Survived,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Female,29,> 12 years old,1,0,2926,26,,S
1,55,0,Perished,1,"Ostby, Mr. Engelhart Cornelius",Male,65,> 12 years old,0,1,113509,61.9792,B30,C
1,57,1,Survived,2,"Rugg, Miss. Emily",Female,21,> 12 years old,0,0,C.A. 31026,10.5,,S
1,58,0,Perished,3,"Novel, Mr. Mansouer",Male,28.5,> 12 years old,0,0,2697,7.2292,,C
1,59,1,Survived,2,"West, Miss. Constance Mirium",Female,5,<= 12 years,1,2,C.A. 34651,27.75,,S
1,60,0,Perished,3,"Goodwin, Master. William Frederick",Male,11,<= 12 years,5,2,CA 2144,46.9,,S
1,61,0,Perished,3,"Sirayanian, Mr. Orsen",Male,22,> 12 years old,0,0,2669,7.2292,,C
1,62,1,Survived,1,"Icard, Miss. Amelie",Female,38,> 12 years old,0,0,113572,80,B28,
1,63,0,Perished,1,"Harris, Mr. Henry Birkhardt",Male,45,> 12 years old,1,0,36973,83.475,C83,S
1,64,0,Perished,3,"Skoog, Master. Harald",Male,4,<= 12 years,3,2,347088,27.9,,S
1,67,1,Survived,2,"Nye, Mrs. (Elizabeth Ramell)",Female,29,> 12 years old,0,0,C.A. 29395,10.5,F33,S
1,68,0,Perished,3,"Crease, Mr. Ernest James",Male,19,> 12 years old,0,0,S.P. 3464,8.1583,,S
1,69,1,Survived,3,"Andersson, Miss. Erna Alexandra",Female,17,> 12 years old,4,2,3101281,7.925,,S
1,70,0,Perished,3,"Kink, Mr. Vincenz",Male,26,> 12 years old,2,0,315151,8.6625,,S
1,71,0,Perished,2,"Jenkin, Mr. Stephen Curnow",Male,32,> 12 years old,0,0,C.A. 33111,10.5,,S
1,72,0,Perished,3,"Goodwin, Miss. Lillian Amy",Female,16,> 12 years old,5,2,CA 2144,46.9,,S
1,73,0,Perished,2,"Hood, Mr. Ambrose Jr",Male,21,> 12 years old,0,0,S.O.C. 14879,73.5,,S
1,74,0,Perished,3,"Chronopoulos, Mr. Apostolos",Male,26,> 12 years old,1,0,2680,14.4542,,C
1,75,1,Survived,3,"Bing, Mr. Lee",Male,32,> 12 years old,0,0,1601,56.4958,,S
1,76,0,Perished,3,"Moen, Mr. Sigurd Hansen",Male,25,> 12 years old,0,0,348123,7.65,F G73,S
1,79,1,Survived,2,"Caldwell, Master. Alden Gates",Male,0.83,<= 12 years,0,2,248738,29,,S
1,80,1,Survived,3,"Dowdell, Miss. Elizabeth",Female,30,> 12 years old,0,0,364516,12.475,,S
1,81,0,Perished,3,"Waelens, Mr. Achille",Male,22,> 12 years old,0,0,345767,9,,S
1,82,1,Survived,3,"Sheerlinck, Mr. Jan Baptist",Male,29,> 12 years old,0,0,345779,9.5,,S
1,84,0,Perished,1,"Carrau, Mr. Francisco M",Male,28,> 12 years old,0,0,113059,47.1,,S
1,85,1,Survived,2,"Ilett, Miss. Bertha",Female,17,> 12 years old,0,0,SO/C 14885,10.5,,S
1,86,1,Survived,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Female,33,> 12 years old,3,0,3101278,15.85,,S
1,87,0,Perished,3,"Ford, Mr. William Neal",Male,16,> 12 years old,1,3,W./C. 6608,34.375,,S
1,89,1,Survived,1,"Fortune, Miss. Mabel Helen",Female,23,> 12 years old,3,2,19950,263,C23 C25 C27,S
1,90,0,Perished,3,"Celotti, Mr. Francesco",Male,24,> 12 years old,0,0,343275,8.05,,S
1,91,0,Perished,3,"Christmann, Mr. Emil",Male,29,> 12 years old,0,0,343276,8.05,,S
1,92,0,Perished,3,"Andreasson, Mr. Paul Edvin",Male,20,> 12 years old,0,0,347466,7.8542,,S
1,93,0,Perished,1,"Chaffee, Mr. Herbert Fuller",Male,46,> 12 years old,1,0,W.E.P. 5734,61.175,E31,S
1,94,0,Perished,3,"Dean, Mr. Bertram Frank",Male,26,> 12 years old,1,2,C.A. 2315,20.575,,S
1,95,0,Perished,3,"Coxon, Mr. Daniel",Male,59,> 12 years old,0,0,364500,7.25,,S
1,97,0,Perished,1,"Goldschmidt, Mr. George B",Male,71,> 12 years old,0,0,PC 17754,34.6542,A5,C
1,98,1,Survived,1,"Greenfield, Mr. William Bertram",Male,23,> 12 years old,0,1,PC 17759,63.3583,D10 D12,C
1,99,1,Survived,2,"Doling, Mrs. John T (Ada Julia Bone)",Female,34,> 12 years old,0,1,231919,23,,S
1,100,0,Perished,2,"Kantor, Mr. Sinai",Male,34,> 12 years old,1,0,244367,26,,S
1,101,0,Perished,3,"Petranec, Miss. Matilda",Female,28,> 12 years old,0,0,349245,7.8958,,S
1,103,0,Perished,1,"White, Mr. Richard Frasar",Male,21,> 12 years old,0,1,35281,77.2875,D26,S
1,104,0,Perished,3,"Johansson, Mr. Gustaf Joel",Male,33,> 12 years old,0,0,7540,8.6542,,S
1,105,0,Perished,3,"Gustafsson, Mr. Anders Vilhelm",Male,37,> 12 years old,2,0,3101276,7.925,,S
1,106,0,Perished,3,"Mionoff, Mr. Stoytcho",Male,28,> 12 years old,0,0,349207,7.8958,,S
1,107,1,Survived,3,"Salkjelsvik, Miss. Anna Kristine",Female,21,> 12 years old,0,0,343120,7.65,,S
1,109,0,Perished,3,"Rekic, Mr. Tido",Male,38,> 12 years old,0,0,349249,7.8958,,S
1,111,0,Perished,1,"Porter, Mr. Walter Chamberlain",Male,47,> 12 years old,0,0,110465,52,C110,S
1,112,0,Perished,3,"Zabour, Miss. Hileni",Female,14.5,> 12 years old,1,0,2665,14.4542,,C
1,113,0,Perished,3,"Barton, Mr. David John",Male,22,> 12 years old,0,0,324669,8.05,,S
1,114,0,Perished,3,"Jussila, Miss. Katriina",Female,20,> 12 years old,1,0,4136,9.825,,S
1,115,0,Perished,3,"Attalah, Miss. Malake",Female,17,> 12 years old,0,0,2627,14.4583,,C
1,116,0,Perished,3,"Pekoniemi, Mr. Edvard",Male,21,> 12 years old,0,0,STON/O 2. 3101294,7.925,,S
1,117,0,Perished,3,"Connors, Mr. Patrick",Male,70.5,> 12 years old,0,0,370369,7.75,,Q
1,118,0,Perished,2,"Turpin, Mr. William John Robert",Male,29,> 12 years old,1,0,11668,21,,S
1,119,0,Perished,1,"Baxter, Mr. Quigg Edmond",Male,24,> 12 years old,0,1,PC 17558,247.5208,B58 B60,C
1,120,0,Perished,3,"Andersson, Miss. Ellis Anna Maria",Female,2,<= 12 years,4,2,347082,31.275,,S
1,121,0,Perished,2,"Hickman, Mr. Stanley George",Male,21,> 12 years old,2,0,S.O.C. 14879,73.5,,S
1,123,0,Perished,2,"Nasser, Mr. Nicholas",Male,32.5,> 12 years old,1,0,237736,30.0708,,C
1,124,1,Survived,2,"Webber, Miss. Susan",Female,32.5,> 12 years old,0,0,27267,13,E101,S
1,125,0,Perished,1,"White, Mr. Percival Wayland",Male,54,> 12 years old,0,1,35281,77.2875,D26,S
1,126,1,Survived,3,"Nicola-Yarred, Master. Elias",Male,12,<= 12 years,1,0,2651,11.2417,,C
1,128,1,Survived,3,"Madsen, Mr. Fridtjof Arne",Male,24,> 12 years old,0,0,C 17369,7.1417,,S
1,130,0,Perished,3,"Ekstrom, Mr. Johan",Male,45,> 12 years old,0,0,347061,6.975,,S
1,131,0,Perished,3,"Drazenoic, Mr. Jozef",Male,33,> 12 years old,0,0,349241,7.8958,,C
1,132,0,Perished,3,"Coelho, Mr. Domingos Fernandeo",Male,20,> 12 years old,0,0,SOTON/O.Q. 3101307,7.05,,S
1,133,0,Perished,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",Female,47,> 12 years old,1,0,A/5. 3337,14.5,,S
1,134,1,Survived,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Female,29,> 12 years old,1,0,228414,26,,S
1,135,0,Perished,2,"Sobey, Mr. Samuel James Hayden",Male,25,> 12 years old,0,0,C.A. 29178,13,,S
1,136,0,Perished,2,"Richard, Mr. Emile",Male,23,> 12 years old,0,0,SC/PARIS 2133,15.0458,,C
1,137,1,Survived,1,"Newsom, Miss. Helen Monypeny",Female,19,> 12 years old,0,2,11752,26.2833,D47,S
1,138,0,Perished,1,"Futrelle, Mr. Jacques Heath",Male,37,> 12 years old,1,0,113803,53.1,C123,S
1,139,0,Perished,3,"Osen, Mr. Olaf Elon",Male,16,> 12 years old,0,0,7534,9.2167,,S
1,140,0,Perished,1,"Giglio, Mr. Victor",Male,24,> 12 years old,0,0,PC 17593,79.2,B86,C
1,142,1,Survived,3,"Nysten, Miss. Anna Sofia",Female,22,> 12 years old,0,0,347081,7.75,,S
1,143,1,Survived,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Female,24,> 12 years old,1,0,STON/O2. 3101279,15.85,,S
1,144,0,Perished,3,"Burke, Mr. Jeremiah",Male,19,> 12 years old,0,0,365222,6.75,,Q
1,145,0,Perished,2,"Andrew, Mr. Edgardo Samuel",Male,18,> 12 years old,0,0,231945,11.5,,S
1,146,0,Perished,2,"Nicholls, Mr. Joseph Charles",Male,19,> 12 years old,1,1,C.A. 33112,36.75,,S
1,147,1,Survived,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",Male,27,> 12 years old,0,0,350043,7.7958,,S
1,148,0,Perished,3,"Ford, Miss. Robina Maggie ""Ruby""",Female,9,<= 12 years,2,2,W./C. 6608,34.375,,S
1,149,0,Perished,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",Male,36.5,> 12 years old,0,2,230080,26,F2,S
1,150,0,Perished,2,"Byles, Rev. Thomas Roussel Davids",Male,42,> 12 years old,0,0,244310,13,,S
1,151,0,Perished,2,"Bateman, Rev. Robert James",Male,51,> 12 years old,0,0,S.O.P. 1166,12.525,,S
1,152,1,Survived,1,"Pears, Mrs. Thomas (Edith Wearne)",Female,22,> 12 years old,1,0,113776,66.6,C2,S
1,153,0,Perished,3,"Meo, Mr. Alfonzo",Male,55.5,> 12 years old,0,0,A.5. 11206,8.05,,S
1,154,0,Perished,3,"van Billiard, Mr. Austin Blyler",Male,40.5,> 12 years old,0,2,A/5. 851,14.5,,S
1,156,0,Perished,1,"Williams, Mr. Charles Duane",Male,51,> 12 years old,0,1,PC 17597,61.3792,,C
1,157,1,Survived,3,"Gilnagh, Miss. Katherine ""Katie""",Female,16,> 12 years old,0,0,35851,7.7333,,Q
1,158,0,Perished,3,"Corn, Mr. Harry",Male,30,> 12 years old,0,0,SOTON/OQ 392090,8.05,,S
1,161,0,Perished,3,"Cribb, Mr. John Hatfield",Male,44,> 12 years old,0,1,371362,16.1,,S
1,162,1,Survived,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Female,40,> 12 years old,0,0,C.A. 33595,15.75,,S
1,163,0,Perished,3,"Bengtsson, Mr. John Viktor",Male,26,> 12 years old,0,0,347068,7.775,,S
1,164,0,Perished,3,"Calic, Mr. Jovo",Male,17,> 12 years old,0,0,315093,8.6625,,S
1,165,0,Perished,3,"Panula, Master. Eino Viljami",Male,1,<= 12 years,4,1,3101295,39.6875,,S
1,166,1,Survived,3,"Goldsmith, Master. Frank John William ""Frankie""",Male,9,<= 12 years,0,2,363291,20.525,,S
1,168,0,Perished,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Female,45,> 12 years old,1,4,347088,27.9,,S
1,170,0,Perished,3,"Ling, Mr. Lee",Male,28,> 12 years old,0,0,1601,56.4958,,S
1,171,0,Perished,1,"Van der hoef, Mr. Wyckoff",Male,61,> 12 years old,0,0,111240,33.5,B19,S
1,172,0,Perished,3,"Rice, Master. Arthur",Male,4,<= 12 years,4,1,382652,29.125,,Q
1,173,1,Survived,3,"Johnson, Miss. Eleanor Ileen",Female,1,<= 12 years,1,1,347742,11.1333,,S
1,174,0,Perished,3,"Sivola, Mr. Antti Wilhelm",Male,21,> 12 years old,0,0,STON/O 2. 3101280,7.925,,S
1,175,0,Perished,1,"Smith, Mr. James Clinch",Male,56,> 12 years old,0,0,17764,30.6958,A7,C
1,176,0,Perished,3,"Klasen, Mr. Klas Albin",Male,18,> 12 years old,1,1,350404,7.8542,,S
1,178,0,Perished,1,"Isham, Miss. Ann Elizabeth",Female,50,> 12 years old,0,0,PC 17595,28.7125,C49,C
1,179,0,Perished,2,"Hale, Mr. Reginald",Male,30,> 12 years old,0,0,250653,13,,S
1,180,0,Perished,3,"Leonard, Mr. Lionel",Male,36,> 12 years old,0,0,LINE,0,,S
1,183,0,Perished,3,"Asplund, Master. Clarence Gustaf Hugo",Male,9,<= 12 years,4,2,347077,31.3875,,S
1,184,1,Survived,2,"Becker, Master. Richard F",Male,1,<= 12 years,2,1,230136,39,F4,S
1,185,1,Survived,3,"Kink-Heilmann, Miss. Luise Gretchen",Female,4,<= 12 years,0,2,315153,22.025,,S
1,188,1,Survived,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Male,45,> 12 years old,0,0,111428,26.55,,S
1,189,0,Perished,3,"Bourke, Mr. John",Male,40,> 12 years old,1,1,364849,15.5,,Q
1,190,0,Perished,3,"Turcin, Mr. Stjepan",Male,36,> 12 years old,0,0,349247,7.8958,,S
1,191,1,Survived,2,"Pinsky, Mrs. (Rosa)",Female,32,> 12 years old,0,0,234604,13,,S
1,192,0,Perished,2,"Carbines, Mr. William",Male,19,> 12 years old,0,0,28424,13,,S
1,193,1,Survived,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,19,> 12 years old,1,0,350046,7.8542,,S
1,194,1,Survived,2,"Navratil, Master. Michel M",Male,3,<= 12 years,1,1,230080,26,F2,S
1,195,1,Survived,1,"Brown, Mrs. James Joseph (Margaret Tobin)",Female,44,> 12 years old,0,0,PC 17610,27.7208,B4,C
1,196,1,Survived,1,"Lurette, Miss. Elise",Female,58,> 12 years old,0,0,PC 17569,146.5208,B80,C
1,198,0,Perished,3,"Olsen, Mr. Karl Siegwart Andreas",Male,42,> 12 years old,0,1,4579,8.4042,,S
1,200,0,Perished,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Female,24,> 12 years old,0,0,248747,13,,S
1,201,0,Perished,3,"Vande Walle, Mr. Nestor Cyriel",Male,28,> 12 years old,0,0,345770,9.5,,S
1,203,0,Perished,3,"Johanson, Mr. Jakob Alfred",Male,34,> 12 years old,0,0,3101264,6.4958,,S
1,204,0,Perished,3,"Youseff, Mr. Gerious",Male,45.5,> 12 years old,0,0,2628,7.225,,C
1,205,1,Survived,3,"Cohen, Mr. Gurshon ""Gus""",Male,18,> 12 years old,0,0,A/5 3540,8.05,,S
1,206,0,Perished,3,"Strom, Miss. Telma Matilda",Female,2,<= 12 years,0,1,347054,10.4625,G6,S
1,207,0,Perished,3,"Backstrom, Mr. Karl Alfred",Male,32,> 12 years old,1,0,3101278,15.85,,S
1,208,1,Survived,3,"Albimona, Mr. Nassef Cassem",Male,26,> 12 years old,0,0,2699,18.7875,,C
1,209,1,Survived,3,"Carr, Miss. Helen ""Ellen""",Female,16,> 12 years old,0,0,367231,7.75,,Q
1,210,1,Survived,1,"Blank, Mr. Henry",Male,40,> 12 years old,0,0,112277,31,A31,C
1,211,0,Perished,3,"Ali, Mr. Ahmed",Male,24,> 12 years old,0,0,SOTON/O.Q. 3101311,7.05,,S
1,212,1,Survived,2,"Cameron, Miss. Clear Annie",Female,35,> 12 years old,0,0,F.C.C. 13528,21,,S
1,213,0,Perished,3,"Perkin, Mr. John Henry",Male,22,> 12 years old,0,0,A/5 21174,7.25,,S
1,214,0,Perished,2,"Givard, Mr. Hans Kristensen",Male,30,> 12 years old,0,0,250646,13,,S
1,216,1,Survived,1,"Newell, Miss. Madeleine",Female,31,> 12 years old,1,0,35273,113.275,D36,C
1,217,1,Survived,3,"Honkanen, Miss. Eliina",Female,27,> 12 years old,0,0,STON/O2. 3101283,7.925,,S
1,218,0,Perished,2,"Jacobsohn, Mr. Sidney Samuel",Male,42,> 12 years old,1,0,243847,27,,S
1,219,1,Survived,1,"Bazzani, Miss. Albina",Female,32,> 12 years old,0,0,11813,76.2917,D15,C
1,220,0,Perished,2,"Harris, Mr. Walter",Male,30,> 12 years old,0,0,W/C 14208,10.5,,S
1,221,1,Survived,3,"Sunderland, Mr. Victor Francis",Male,16,> 12 years old,0,0,SOTON/OQ 392089,8.05,,S
1,222,0,Perished,2,"Bracken, Mr. James H",Male,27,> 12 years old,0,0,220367,13,,S
1,223,0,Perished,3,"Green, Mr. George Henry",Male,51,> 12 years old,0,0,21440,8.05,,S
1,225,1,Survived,1,"Hoyt, Mr. Frederick Maxfield",Male,38,> 12 years old,1,0,19943,90,C93,S
1,226,0,Perished,3,"Berglund, Mr. Karl Ivar Sven",Male,22,> 12 years old,0,0,PP 4348,9.35,,S
1,227,1,Survived,2,"Mellors, Mr. William John",Male,19,> 12 years old,0,0,SW/PP 751,10.5,,S
1,228,0,Perished,3,"Lovell, Mr. John Hall (""Henry"")",Male,20.5,> 12 years old,0,0,A/5 21173,7.25,,S
1,229,0,Perished,2,"Fahlstrom, Mr. Arne Jonas",Male,18,> 12 years old,0,0,236171,13,,S
1,231,1,Survived,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Female,35,> 12 years old,1,0,36973,83.475,C83,S
1,232,0,Perished,3,"Larsson, Mr. Bengt Edvin",Male,29,> 12 years old,0,0,347067,7.775,,S
1,233,0,Perished,2,"Sjostedt, Mr. Ernst Adolf",Male,59,> 12 years old,0,0,237442,13.5,,S
1,234,1,Survived,3,"Asplund, Miss. Lillian Gertrud",Female,5,<= 12 years,4,2,347077,31.3875,,S
1,235,0,Perished,2,"Leyson, Mr. Robert William Norman",Male,24,> 12 years old,0,0,C.A. 29566,10.5,,S
1,237,0,Perished,2,"Hold, Mr. Stephen",Male,44,> 12 years old,1,0,26707,26,,S
1,238,1,Survived,2,"Collyer, Miss. Marjorie ""Lottie""",Female,8,<= 12 years,0,2,C.A. 31921,26.25,,S
1,239,0,Perished,2,"Pengelly, Mr. Frederick William",Male,19,> 12 years old,0,0,28665,10.5,,S
1,240,0,Perished,2,"Hunt, Mr. George Henry",Male,33,> 12 years old,0,0,SCO/W 1585,12.275,,S
1,243,0,Perished,2,"Coleridge, Mr. Reginald Charles",Male,29,> 12 years old,0,0,W./C. 14263,10.5,,S
1,244,0,Perished,3,"Maenpaa, Mr. Matti Alexanteri",Male,22,> 12 years old,0,0,STON/O 2. 3101275,7.125,,S
1,245,0,Perished,3,"Attalah, Mr. Sleiman",Male,30,> 12 years old,0,0,2694,7.225,,C
1,246,0,Perished,1,"Minahan, Dr. William Edward",Male,44,> 12 years old,2,0,19928,90,C78,Q
1,247,0,Perished,3,"Lindahl, Miss. Agda Thorilda Viktoria",Female,25,> 12 years old,0,0,347071,7.775,,S
1,248,1,Survived,2,"Hamalainen, Mrs. William (Anna)",Female,24,> 12 years old,0,2,250649,14.5,,S
1,249,1,Survived,1,"Beckwith, Mr. Richard Leonard",Male,37,> 12 years old,1,1,11751,52.5542,D35,S
1,250,0,Perished,2,"Carter, Rev. Ernest Courtenay",Male,54,> 12 years old,1,0,244252,26,,S
1,252,0,Perished,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",Female,29,> 12 years old,1,1,347054,10.4625,G6,S
1,253,0,Perished,1,"Stead, Mr. William Thomas",Male,62,> 12 years old,0,0,113514,26.55,C87,S
1,254,0,Perished,3,"Lobb, Mr. William Arthur",Male,30,> 12 years old,1,0,A/5. 3336,16.1,,S
1,255,0,Perished,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",Female,41,> 12 years old,0,2,370129,20.2125,,S
1,256,1,Survived,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",Female,29,> 12 years old,0,2,2650,15.2458,,C
1,258,1,Survived,1,"Cherry, Miss. Gladys",Female,30,> 12 years old,0,0,110152,86.5,B77,S
1,259,1,Survived,1,"Ward, Miss. Anna",Female,35,> 12 years old,0,0,PC 17755,512.3292,,C
1,260,1,Survived,2,"Parrish, Mrs. (Lutie Davis)",Female,50,> 12 years old,0,1,230433,26,,S
1,262,1,Survived,3,"Asplund, Master. Edvin Rojj Felix",Male,3,<= 12 years,4,2,347077,31.3875,,S
1,263,0,Perished,1,"Taussig, Mr. Emil",Male,52,> 12 years old,1,1,110413,79.65,E67,S
1,264,0,Perished,1,"Harrison, Mr. William",Male,40,> 12 years old,0,0,112059,0,B94,S
1,266,0,Perished,2,"Reeves, Mr. David",Male,36,> 12 years old,0,0,C.A. 17248,10.5,,S
1,267,0,Perished,3,"Panula, Mr. Ernesti Arvid",Male,16,> 12 years old,4,1,3101295,39.6875,,S
1,268,1,Survived,3,"Persson, Mr. Ernst Ulrik",Male,25,> 12 years old,1,0,347083,7.775,,S
1,269,1,Survived,1,"Graham, Mrs. William Thompson (Edith Junkins)",Female,58,> 12 years old,0,1,PC 17582,153.4625,C125,S
1,270,1,Survived,1,"Bissette, Miss. Amelia",Female,35,> 12 years old,0,0,PC 17760,135.6333,C99,S
1,272,1,Survived,3,"Tornquist, Mr. William Henry",Male,25,> 12 years old,0,0,LINE,0,,S
1,273,1,Survived,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",Female,41,> 12 years old,0,1,250644,19.5,,S
1,274,0,Perished,1,"Natsch, Mr. Charles H",Male,37,> 12 years old,0,1,PC 17596,29.7,C118,C
1,276,1,Survived,1,"Andrews, Miss. Kornelia Theodosia",Female,63,> 12 years old,1,0,13502,77.9583,D7,S
1,277,0,Perished,3,"Lindblom, Miss. Augusta Charlotta",Female,45,> 12 years old,0,0,347073,7.75,,S
1,279,0,Perished,3,"Rice, Master. Eric",Male,7,<= 12 years,4,1,382652,29.125,,Q
1,280,1,Survived,3,"Abbott, Mrs. Stanton (Rosa Hunt)",Female,35,> 12 years old,1,1,C.A. 2673,20.25,,S
1,281,0,Perished,3,"Duane, Mr. Frank",Male,65,> 12 years old,0,0,336439,7.75,,Q
1,282,0,Perished,3,"Olsson, Mr. Nils Johan Goransson",Male,28,> 12 years old,0,0,347464,7.8542,,S
1,283,0,Perished,3,"de Pelsmaeker, Mr. Alfons",Male,16,> 12 years old,0,0,345778,9.5,,S
1,284,1,Survived,3,"Dorking, Mr. Edward Arthur",Male,19,> 12 years old,0,0,A/5. 10482,8.05,,S
1,286,0,Perished,3,"Stankovic, Mr. Ivan",Male,33,> 12 years old,0,0,349239,8.6625,,C
1,287,1,Survived,3,"de Mulder, Mr. Theodore",Male,30,> 12 years old,0,0,345774,9.5,,S
1,288,0,Perished,3,"Naidenoff, Mr. Penko",Male,22,> 12 years old,0,0,349206,7.8958,,S
1,289,1,Survived,2,"Hosono, Mr. Masabumi",Male,42,> 12 years old,0,0,237798,13,,S
1,290,1,Survived,3,"Connolly, Miss. Kate",Female,22,> 12 years old,0,0,370373,7.75,,Q
